Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,11/15/2025,"ACME CORPORATION PAYROLL DEPOSIT",3200.00,ACH_CREDIT,8750.25,,
DEBIT,11/14/2025,"Credit Card Payment - Card ending 1234",-450.00,LOAN_PMT,5550.25,,
CREDIT,11/13/2025,"FREELANCE CLIENT PAYMENT",850.00,ACH_CREDIT,6000.25,,
DEBIT,11/12/2025,"Transfer to Savings Account",-1000.00,ACCT_XFER,5150.25,,
CREDIT,11/10/2025,"INVESTMENT DIVIDEND PAYMENT",275.50,ACH_CREDIT,6150.25,,
DEBIT,11/09/2025,"Mortgage Payment",-1850.00,ACH_DEBIT,5875.75,,
CREDIT,11/08/2025,"TAX REFUND DEPOSIT",1250.00,ACH_CREDIT,7725.75,,
DEBIT,11/07/2025,"Utility Bill Payment",-145.75,ACH_DEBIT,6475.75,,
DEBIT,11/06/2025,"Car Insurance Premium",-125.00,ACH_DEBIT,6621.50,,
DEBIT,11/05/2025,"ATM Withdrawal - Downtown Branch",-200.00,ATM_WITHDRAWAL,6746.50,ATM001
CREDIT,11/01/2025,"ACME CORPORATION PAYROLL DEPOSIT",3200.00,ACH_CREDIT,6946.50,,
DEBIT,10/31/2025,"Rent Payment",-1500.00,ACH_DEBIT,3746.50,,
DEBIT,10/30/2025,"Grocery Store Purchase",-125.75,DEBIT_CARD,5246.50,,
CREDIT,10/28/2025,"Transfer from Savings Account",500.00,ACCT_XFER,5372.25,,
DEBIT,10/25/2025,"Gas Station Purchase",-55.00,DEBIT_CARD,4872.25,,
DEBIT,10/22/2025,"Restaurant Payment",-87.50,DEBIT_CARD,4927.25,,
